Marker1,Marker2,Marker3,Temperature,Rainfall,Yield
0,1,2,28.4,487,5.21
1,0,1,30.2,512,6.13
2,2,0,25.6,623,7.34
0,0,1,32.1,398,4.82
1,2,2,27.3,554,6.85
2,1,0,29.4,476,5.94
0,2,1,31.2,518,6.32
1,1,2,26.4,582,7.04
2,0,0,33.1,418,4.51
0,1,0,28.3,462,5.54
1,2,1,30.4,514,6.44
2,1,2,24.7,628,7.84
0,0,2,32.4,392,4.62
1,0,0,29.2,468,5.74
2,2,1,27.4,542,6.94
0,2,0,31.4,504,6.24
1,1,0,26.2,558,6.74
2,0,2,34.2,412,4.42
0,1,1,28.2,482,5.64
1,2,0,30.3,532,6.54
2,1,1,25.2,592,7.24
0,0,0,33.4,402,4.72
1,0,2,29.3,472,5.84
2,2,2,27.2,572,7.14
0,2,2,31.3,512,6.44
1,1,1,26.3,552,6.64
2,0,1,28.1,494,5.94
0,1,2,30.1,524,6.34
1,2,2,25.4,604,7.54
2,1,0,32.3,394,4.66
0,0,1,29.1,484,5.76
1,0,0,27.1,544,6.76
2,2,2,31.1,514,6.36
0,2,1,26.1,564,6.76
1,1,2,28.3,474,5.86
2,0,0,30.2,524,6.36
0,1,0,25.1,604,7.46
1,2,1,32.2,404,4.76
2,1,2,29.2,484,5.86
0,0,2,27.2,554,6.86
1,2,0,31.2,514,6.26
2,1,1,26.2,564,6.76
0,0,0,33.3,404,4.66
1,0,2,29.3,484,5.76
2,2,1,27.3,554,6.86
0,2,0,31.3,514,6.26
1,1,0,26.3,564,6.66
2,0,2,28.2,494,5.96
0,1,1,30.2,524,6.36
1,2,2,25.3,614,7.56
